Crea regole; Create rules
la sequenza <specifica ordine> <corrisponde/non corrisponde> ai valori dell’esercizio <specifica>; the <specify order> sequence of <type> <matches/does not match> the values of the exercise <specify>
crescente; ascending order
decrescente; descending order
tessere qualsiasi; any tiles
cifre; digits
quantità mele; apples quantities
l’espressione matematica diventa <vera/falsa>; the mathematical expression becomes <true/false>
il badge <specifica> viene ottenuto; the badge <specify> is gained
vengono raggiunti <N> punti esperienza; a total of <N> experience points is reached
il livello <N> del gioco viene completato <specifica<<errori><prove>>; the level <N> of the game is completed <specify <<errors><attempts>>
senza errori; without mistakes
con N errori with <N> mistakes
con meno di N errori; making less than <N> mistakes
con più di N errori; making more than <N> mistakes
il livello esperienza <specifica> viene raggiunto; the experience level <specify> is reached
the exercise number <N> is completed


la posizione <numero> è occupata da <tipologia>; the position number <N <specify>> is occupied by <type>
1:5 <specifica smarter>; <specify smarter>
la posizione <numero> è vuota; the position number <N <specify>> is empty
la posizione adiacente <a destra/sinistra> della tessera appena <inserita/rimossa> è <vuota/occupata da una tessera>; the position immediately <to the right/left> of the tile that has just been <placed/removed> is <empty/occupied by a tile>
a destra; to the right 
a sinistra; to the left
nelle posizioni a <destra/sinistra> della tessera appena <inserita/rimossa> <specifica il numero di posizioni occupate>; in the positions <to the right/left> of the tile that has just been <placed/removed> <specify the number of occupied positions>
nessuna tessera è posizionata; no tiles are placed
tutte le tessere sono posizionate; all the tiles are placed
almeno <1,2,3,4> tessera/e sono posizionate/è posizionata; at least <1,2,3,4> tile(s) is/are placed
meno di <2,3,4,5> tessere sono posizionate; less than <2,3,4,5> tiles are placed
nell’insieme delle tessere a <destra/sinistra> della tessera appena <inserita/rimossa> è presente <specifica>; in the set of tiles placed to the <right/left> of the tile that has just been <placed/removed> there is <specific>
un’operazione; a math expression
un numero composto da più tessere cifra; a number composed of more than one tile
la tessera appena <inserita/rimossa> è una tessera <tipologia>; the tile that has just been <placed/removed> is a <type> tile
Si possiede il badge <specifica>; the badge <specifica> is owned
È in corso il livello <specifica> del gioco; a/the level <specific> is ongoing
minore di <N>; lower than
maggiore di <N>; higher than
Si hanno <specifica> punti; <specify> experience points are owned
almeno N; at least N
meno di N; less than N
Si è al livello esperienza <specifica>; the experience level <specify> is reached
the exercise number <N> is ongoing
